source_id,ra,dec,parallax,phot_g_mean_mag,bp_rp,pmra,pmdec,radial_velocity
2900546759663847168,84.91226376039107,-34.07421247244894,11.400786448797566,2.6532035,0.29323173,1.6847124451941056,-24.344562451710896,
2962546605447869184,76.36538394458108,-22.371367602513757,15.599908298075055,2.6534927,1.5497768,24.048504491467565,-74.95097440824634,
779106556394253824,167.41547770774767,44.4983642995888,23.227226550456237,2.68003,1.3199959,-62.62009416691988,-27.777557179537723,
510204838759030144,21.45661245731054,60.235067611380984,32.02972419177956,2.6805298,0.5723715,296.42007959813117,-49.12702186535588,
4683897617110115200,6.482504988433097,-77.25279546754571,133.71940556671353,2.6807318,0.92413735,2218.9845482530773,326.44454180123256,
1339952869195300608,258.7616572468772,36.809174548038804,8.899064345249363,2.7025177,1.4799106,-27.40209075014929,2.924771069071474,
5859405805013401984,184.39008382548533,-67.96085330413052,9.991496143923554,2.7034264,2.3211966,-230.607030300514,-26.205687717494953,
2671038928727970944,322.8898027828743,-5.571211107815946,5.972785301344111,2.7120852,1.0929565,19.213674953612266,-8.16294285004504,
1381119031215320576,247.16079375745315,41.881650687920455,8.486623721850398,2.7236698,3.1317515,28.560299773638302,-6.402429210261193,
4049975081571729920,271.45176593069976,-30.424938157908525,32.26965661295192,2.7243106,1.2346699,-48.83893212325556,-204.8603974676837,
1887953690728237568,340.7506395031158,30.221130397877182,16.630835440035625,2.7250793,1.109237,19.957041650494183,-18.971073148866992,
2680356911816018048,331.44606406642515,-0.31989739999996836,4.94514532586508,2.727835,1.1494417,18.590442703968645,-10.450029478158003,
5239828735016184448,160.7389810431919,-64.39440583205966,7.6371045121724,2.7347076,0.055695772,-16.540817133170155,10.00229546039697,
3557567320183657472,162.40663105834716,-16.19275976302023,23.794020354103314,2.7356641,1.3883028,92.91161788227743,199.64220188539963,
3017190546641718144,83.85826322361507,-5.909896048091421,1.9968658285610956,2.7408419,0.11113644,-2.81577187123059,-1.69303154943788,
5698015743046182272,121.8856299797689,-24.304115553778075,51.39988628348321,2.7505891,0.78982997,-82.88573139167518,46.92999524626171,
4935615308047192576,22.091261274313453,-43.31915413670581,13.361166787925637,2.7603414,1.6890006,-17.71983638719699,-206.864433716605,
5610441600394646016,105.42975475577698,-27.934808608833123,2.508532778196012,2.7605493,1.7686272,-5.714240728055614,4.889613109119441,
6071060144089351808,183.7860104400386,-58.748974282250245,7.168087771989562,2.7730124,-0.007714033,-36.95082953617367,-11.296130411853484,
6194563955869054848,199.7307355656656,-23.171710892760082,25.52860508281361,2.776534,1.1548169,67.9557138676889,-44.29923851288874,
3211922645854328832,76.9620005509911,-5.086810304091459,36.24560427650994,2.7777147,0.43548036,-88.48137357389295,-70.49687410279232,
641662895638787584,146.46258258682883,23.7742057827888,14.33944287393727,2.7839565,1.0609426,-46.15399801533371,-10.798759173770152,
5826168461855385472,238.7838064740902,-63.43251144584002,80.48541193436336,2.784391,0.62880015,-187.36581928502997,-401.1911000240785,
4082115215112774272,287.440967928891,-21.02377872569698,6.241001258151316,2.803014,0.6970482,-1.3525284261882966,-36.816792173281,
2887731882922767744,87.74026611929386,-35.76651139745324,36.90381517096654,2.8041787,1.2997231,54.45215030399028,404.6004282430017,
2255173119658513408,288.13986191145926,67.66194921202765,33.34994526763806,2.8079169,1.2463834,94.59853339300898,92.37402429966892,
168726523212358272,58.53304404662457,31.88359461391294,3.855550617532855,2.8219895,0.35094476,7.27424808859301,-9.14135670813523,
6838311796136238976,326.76139246141946,-16.128607188133948,85.94055985093036,2.836813,0.6872513,259.7074391661449,-296.72127999345474,
1824534959611831680,296.84697410021977,18.53431498544213,5.967380825829624,2.8368227,1.9357872,7.276983030772307,0.3182083939340873,
6875990375999580544,305.2529803545091,-14.781406001156812,8.396575006308046,2.8368742,1.0786076,44.133447193153046,0.3602279482402574,
205499655242974464,75.49223197537926,43.823296688371194,0.9878818319946335,2.847648,0.96053123,0.8829651653173848,-3.06482445317715,
6674382927491854848,309.3921343889334,-47.2912080024033,32.898854474949125,2.8521497,1.2221763,50.921628478362564,66.02564942441289,
2769202742740232960,3.3089703843753013,15.183550741446307,6.947422027434692,2.8534293,0.09509516,0.4915025684300727,-10.72983322504956,
1823067317695766784,299.6895907690142,19.4922471120651,11.337545204585858,2.8593628,1.6970007,65.00494835300688,22.72079936785127,
2610370969483589888,343.1537089468947,-7.579451402482835,8.936000082367386,2.8595295,1.9338799,14.964393803765283,32.74227724801962,
4039970797062166400,267.4647360322948,-37.0432231563698,24.73401438925934,2.860071,1.3463864,41.7174587158551,11.974986141863557,
5958043164999014400,266.8961644868148,-40.127021345862346,1.4177487203133474,2.8666828,0.9037235,0.004687998609124916,-5.396295236578201,
2199493438511811712,332.7137697826255,58.20128527773775,3.2971978923053005,2.8701382,1.5724754,13.358975544208866,5.274814743911376,
583588100209595776,133.84799100696154,5.9456285938922715,21.313272879490093,2.8702028,1.1994629,-101.03709490331457,14.261244607726608,
5253347574087339776,154.27049434677835,-61.3322788093693,4.304645225574549,2.8710227,1.5570004,-25.587496093560038,5.812252489542484,
2858629802998456576,9.832595312681915,30.86050281776377,31.573488734557774,2.8720777,1.4206281,176.85629399879502,-108.17132628918509,
6235406071207202688,239.71290472790042,-26.114226866466353,9.673294610301134,2.8735147,-0.06000185,-12.39941652411019,-26.21019748451426,
5538814190283894656,116.31367447237092,-37.96856044058731,2.9459649267338475,2.875049,1.8465354,-10.539646879888679,5.584357504332386,
4444057469252265984,254.41575470820635,9.374984808370574,37.112505074250734,2.8820894,1.3088837,-292.63793453634236,-9.948193103141083,
5823248090239625088,229.72661750917953,-68.67968528286241,17.18088396465165,2.882312,0.3196814,-65.81561640185238,-31.186621115818014,
229898024422755840,59.463595170524904,40.0100950978535,5.331620151096612,2.904279,0.008548498,16.84503530613945,-23.553843136836534,
1517698716348324992,194.0056156711975,38.31862104268021,32.722737796620656,2.9043932,0.2194066,-233.7755313345049,55.034770927991445,
2079784488001577600,296.2439176177008,45.13102484391075,21.14741161121059,2.9163165,0.2526536,41.87016581274261,47.297743168717744,
2093931938472201600,283.62614120001314,36.89862858866195,4.235186837675473,2.922179,2.384991,-6.5978879360707055,1.9527840223340567,
5249119024128109952,146.77535748906328,-65.07197322907481,3.7373040047368864,2.9269278,0.6949799,-13.011526727880746,7.637888627323537,
2281778105594488192,354.83578083298244,77.63312481414683,72.51669209892496,2.9429574,1.2568743,-64.86017762406422,171.15860250258777,
6270558110774003968,211.59312413128,-26.682988025787974,30.8889116729351,2.948431,1.3334074,43.38128373019896,-140.95130845178275,
3520586071217872896,187.46509027380262,-16.51605134463174,38.05998179765627,2.9649055,0.19952226,-209.27622914351525,-139.1843207728625,
6007749027577770496,230.4510369940133,-36.261754340239875,11.661557593684153,2.965608,1.662416,-91.2551568138423,-85.73567412146342,
6762701233364896000,286.734746992432,-27.67154143141872,28.319548249048147,2.9668314,1.349406,-53.00095904927703,-253.30363661316218,
1614731957531452544,231.23232031030997,58.966142735645974,32.52388531619131,2.9729202,1.3520339,-8.182586516680766,17.296024945644415,
4356298849169862784,244.58075014832895,-4.692331985478922,30.513634597436656,2.977211,1.2300808,83.9156476548227,40.76265765863977,
6520955322608285824,337.43921411918564,-43.74920644105509,9.155560774760122,2.9805827,2.2058942,-14.736912903642546,2.7981787629368218,
1851924859353116928,318.2340887866534,30.226696772221253,21.81303235858556,2.9821486,1.1928167,-3.7915252059352493,-45.42939001735778,
248577867988535296,55.731412103792316,47.78739289427855,6.243474592998773,2.9823132,0.034811497,29.038044099843425,-23.36491570546787,
4269932382607207040,275.32505935876196,-2.9019428805540897,52.44130794438597,2.9904501,1.2370036,-548.9026127940798,-700.8543065644087,
3098404220680931968,124.1286317978316,9.185323935788704,10.102592897316667,3.0001826,1.5984769,-45.67916058543277,-49.50480605477476,
4314399312979641728,286.3525049765623,13.863053278714878,38.23294898965933,3.001118,0.30376935,-6.57492134089543,-95.90884032512517,
2896572746685604480,95.07833734068376,-30.06334878363528,9.49220621127137,3.0076509,0.06975937,6.084451056045602,4.247413057587071,
6586825380598949632,328.4827688631597,-37.36494848913747,17.808001236182314,3.0138354,0.13039613,110.44546730080081,-17.160865664665714,2.9258134
757565233820538752,169.61959969105789,33.0944300347131,7.982310491470233,3.0204449,1.5898306,-26.138812034262333,27.891993400528,
1696877570753454208,230.1818712785812,71.83410165777194,6.595867221744522,3.0218675,0.4629395,-15.907549565254666,17.145613499942602,
1487434040320076800,218.01881769228896,38.30892269460632,37.91254655500852,3.022188,0.4798348,-114.34365542209365,151.78788107079836,
5614471482318442240,117.32353878305732,-24.859795343600315,3.0058993777046874,3.0238004,1.3292952,-3.6099999850539417,-2.5793914773125874,
2921635736292220800,105.75612410219094,-23.833277071923618,0.8714895713272475,3.0407002,0.100087404,-1.3350715991353828,3.803012292601722,53.879967
5786929090848333568,211.33111350491527,-76.79690699917452,8.380805497629552,3.0503223,3.525211,-88.58553009373166,-32.65504168156829,
2162316545207257600,316.2328118253326,43.9278571769806,2.836313901245389,3.0638983,1.7368188,10.061681773655254,0.8611772003377918,
5971289565647972608,252.96755916146594,-38.047480863426145,1.873246274472837,3.069865,-0.013882637,-10.451212393635913,-18.31486822108928,
1018776176872261248,143.20753978122536,51.67490604097004,73.82839808283359,3.0717425,0.8285754,-942.5671400184004,-542.0162846102697,
4164319171172759040,269.75659946779956,-9.77415085090108,22.903060175843585,3.0769866,1.2523377,-7.706553230379911,-116.38040170182684,
3288921720025503360,72.46212402119102,6.9613310085374644,124.61980141424488,3.0879216,0.8058183,463.9544034849098,11.937009936843957,
196944217825405184,89.98371736337808,45.936700316237285,4.515407302318046,3.0882971,2.294921,-3.754685873034695,-7.78494986526491,
1061909811871141504,172.85040436553678,69.33099194674183,8.645797394390561,3.1029344,1.8182423,-41.23980723462354,-18.851433095729824,
6058271964884299520,185.33849318733613,-60.40074016126815,14.199861521996095,3.1038253,1.5515676,-171.22298451399928,91.7950951944146,
5926920079553285760,252.44682140759986,-59.04149532374984,10.699331962178958,3.1050086,1.7179904,38.98964039718318,-26.094642930199186,
1014058103758571520,134.7989643318015,48.040871471105525,68.00099930164292,3.120973,0.50758815,-439.83552453066625,-214.0709500414631,13.000446
4676528209144882304,63.60655843373849,-62.473612611773696,20.34313182746785,3.1259058,1.1488793,45.06855876071067,42.94752571508745,
5333974693006467328,173.94499364430385,-63.01986715208006,8.276956632943902,3.1292858,0.27234888,-33.86288401530731,-7.235567957846115,
4573412435280434560,258.7578570009893,24.83850638924531,42.48084539964649,3.130809,0.34447908,-20.95395629310213,-156.76715982654696,
2470140321630664064,17.148438895614227,-10.182882334720631,27.060320608827386,3.1326482,1.3475201,215.92223883038398,-139.02898214239448,
3400796031719045632,83.05313628063799,18.59421655157538,1.5207023448393597,3.1337926,2.329281,0.9565282493019445,-4.511302181298485,
6444391655040244992,300.4366214992657,-59.37600436673482,5.910175014550325,3.137527,3.1189632,21.29069166580847,-24.314009837152224,
6210176643031265920,234.25595511298545,-28.135058413293958,15.526662420405081,3.1413295,1.5495112,-16.26113271216898,11.71084483256042,
454491381981202944,42.67433778950114,55.89543428763181,3.265744722465881,3.1448548,1.7528703,16.34593379861261,-13.51791178717059,
5964991494281655808,253.64509209283676,-42.36233289362051,24.23533101426504,3.1452072,1.531151,-126.7206136099607,-228.83732907409123,
1041808368494264576,127.56491125025244,60.71768972076183,17.933453100456937,3.1493552,1.1214743,-133.6435612588574,-107.664450660585,
6195030801635544704,202.42798835570676,-23.28126748094725,6.735509777640576,3.1524858,4.51126,-54.21311701177379,11.79364794852804,
1632499034644723968,257.1964366984523,65.7147909130057,7.8274239118414135,3.1570117,0.029368877,-16.54968473371583,32.75683370175901,
200929706966014976,75.6195856403002,41.075746103013174,1.4243804312657276,3.1632786,1.6257279,12.092598067774258,-19.324312001804586,
1284537517514584704,217.95693766582724,30.371969326102114,19.854976065680784,3.164287,1.4698334,-100.53064484129288,119.86987605195637,
5849837854861497856,220.62472315663254,-64.97617739215704,60.99295526213351,3.1673613,0.54018545,-193.16869633052895,-234.98229207390125,
1621259036510505344,224.3950073429196,65.9325976765071,9.85144476370445,3.1697965,2.5372167,-79.45695685826611,33.561441871200365,
201261278441958656,76.62890153390961,41.23417207468237,14.020760617529195,3.1723478,-0.08008838,29.77063204785774,-68.32510056257638,
5557271829408912896,99.4402993342767,-43.19595283798712,8.819388529207934,3.1752331,0.09882474,-0.5372637439909058,-3.858982012461863,31.464748
2195115561168483712,311.32320634108095,61.84241929401267,69.597553957676,3.1779127,1.1867034,85.99344103538436,818.4511251587252,
5888394463447019392,228.07041450548323,-52.099569942966866,28.761642265080166,3.1800218,1.1716576,-112.90038746628365,-72.27824484133066,
4084834822776246272,284.43266047869355,-21.106717827235787,8.40922893943697,3.1887186,1.3509386,33.5197503293226,-13.552396564112811,
399402894487590144,24.498581855369736,48.62771419048821,18.548940022155016,3.2095633,1.4348543,62.967890999140955,-111.99850743934499,
1278391075717325312,228.87612720122996,33.31433528392251,27.074645953253125,3.2112799,1.2281203,84.38252627225717,-111.5907867978561,
4942522955488925696,28.41082402017747,-46.30305481100173,9.749879129317257,3.213741,2.3134608,-91.67566180976576,-86.74601339024062,
6005678131793146752,230.34292059535883,-40.64760760160889,6.729571945649031,3.2144635,-0.1507957,-9.163472845382556,-17.377300687472946,
6750856228950043264,300.6646666593532,-27.70978078962147,7.267748469925214,3.220193,2.377509,32.77673560045311,14.300311269635918,
2211820991085587584,342.41934656416254,66.19984964631519,27.286898448831035,3.222498,1.2832088,-65.94656790624168,-124.96706267589808,
2429978803998630400,4.856910935281447,-8.824082129756166,11.699612841220237,3.226718,1.3905072,-14.609779909426761,-36.66823328410835,
3561350430457837056,169.83463212005861,-14.777619467275395,17.017002054524486,3.2277887,1.3550568,-122.9583056007642,207.0831087899795,
5044368071870093312,44.56501351690538,-40.30457515963677,19.904727809253604,3.2283852,0.4197197,-52.27269655179602,23.057745996331313,
5965222838410499328,258.03844060290766,-43.240469434978955,44.57114676930468,3.2345328,0.72117686,21.615861680354477,-287.9783893005375,
4594497769766809216,266.6132135058437,27.717275040505413,119.92480848370072,3.2384055,1.0220034,-312.0873775804219,-773.1790550724331,
1352588216303348608,250.7242233003289,38.92187538840611,29.259479569758373,3.2446299,1.1990156,35.48159208640796,-85.39456849632069,
1296713990316692096,225.4862720556191,40.39043449121325,13.878018045623234,3.244982,1.1887541,-40.70832732772827,-30.167885429277188,
3352485999058854912,101.32182967483567,12.89474308933157,54.189438370902394,3.2463484,0.69255114,-114.56401293447146,-191.67097112394018,
5253796346624992128,158.00593262490582,-61.68528632440866,6.443814896756056,3.247181,0.10184884,-18.347730252675635,10.266430315647312,
2043823929421342848,284.73591160914657,32.68956324554115,4.965623359553961,3.2489738,0.23184443,-2.979656761569392,1.6885986828730914,-19.554564
4224225924761329792,302.82635270631516,-0.8214431669930159,14.26869844083396,3.249787,0.11145949,35.58178444800484,4.596020432504421,
5843518239925459456,195.57143877146018,-71.5489615462354,37.38863264139122,3.25495,1.3763945,263.7005052923015,-23.069019770614634,
3748360796947806208,156.52201077113986,-16.836644983402508,13.370995858159528,3.2667334,1.7062087,-128.8188947951205,-80.18517142565183,
488354175450563968,57.380326534704494,65.52591009149197,3.32880597098895,3.267435,2.304491,0.3185032622522419,-15.593321938080242,
2404579570000684544,343.6623683129667,-15.820936714471294,23.145107751295345,3.2723644,0.27975655,-34.15162837900651,-26.358572578082452,10.962601
1876510592179455744,342.50151443616926,24.60139285847616,28.933976055518585,3.2745838,1.1968596,145.24028980212034,-42.39560113284592,
5164120762333028736,55.811663307520355,-9.760083664068041,110.02539078597692,3.2755666,1.1661985,-93.63405683015571,744.3603877012735,
2921973698674974592,103.53311608405266,-24.18419290193152,1.286929178005339,3.2783384,1.712198,-3.7714678185532877,4.065909285783499,
5909069886210174080,266.43317253375255,-64.72412275277095,8.865301790583683,3.2796018,1.3701215,-10.483354906149502,-56.53980998878038,
48026706558487040,67.15467370962931,19.180273317307044,22.36535445562801,3.2804532,1.2369773,107.5257715587816,-36.20007001971977,
2082600852679281408,303.40796229720166,46.74133773743381,2.916701118242992,3.2822554,1.5570946,1.7438238370087338,3.389795048831248,
5136659462996725888,30.001923185332597,-21.07793985367682,10.272551125995138,3.2832906,1.8290713,133.9220851053936,-24.341171051145956,
2983168461421919488,78.23312712426376,-16.205534685823757,19.177506188965044,3.2917867,0.09103608,42.8030544542143,-16.01684601168768,26.204052
3478394889483944320,173.24937918580787,-31.85780756798889,24.96322194613156,3.2924726,1.1759143,-210.1582590921118,-41.203265628072664,
2442861747380543104,0.4902909138850841,-6.0142504274104995,7.875848526808842,3.2927852,2.236109,46.94108941824969,-40.47090496226734,
2452378776434477184,26.009055057160104,-15.933680200693857,273.80974511859966,3.3003998,1.0512211,-1721.7277944720731,854.9631570589582,
5242895960110588160,153.43377667824367,-70.0378747806419,8.297806024095525,3.3005145,0.15506268,-36.54843108650029,7.125163236483472,
5922299347569528832,261.3485553800659,-56.377786406266836,3.9387250754255283,3.3046894,-0.06958938,-3.5828229264463163,-12.640730234232008,-4.530776
2977433305691613440,70.1105804891658,-19.67190790965568,7.5228635453161505,3.308113,2.1698616,24.625046418400885,-93.6081064780351,
1575287046603605888,183.85734834773095,57.03265316489124,40.32790069695137,3.3111024,0.26148772,103.94679584135581,8.141463801370662,-12.387454
2084154943646648320,303.8680187380917,47.71421578458536,3.2558384788946304,3.3171265,1.7915502,0.17967865729837695,-2.319248461213489,
6351709524967494528,335.0085033956125,-80.43993881612172,11.121963173952466,3.318115,2.939926,56.083474042861965,-43.12770319450545,
2478112158887431296,21.00550474116343,-8.184156538900368,29.033881106238844,3.3185785,1.3057001,-76.22564505747756,-201.51931772046294,
425040000962559616,12.285227381524425,57.81272812559009,168.83216034019418,3.3200667,0.8868861,1078.6091666696218,-551.1334202185512,
3897724469419137664,176.4647373314568,6.528561818446899,9.84462371253032,3.3209586,1.8368912,-21.085884544115533,-182.90312888508535,
6456322112116572160,313.70266376090893,-58.45425431237613,5.6425572191622555,3.3229845,1.3746657,20.213009341779223,-24.64870069102993,
6880093650314169984,304.5138436900398,-12.544841401195866,29.913986848375306,3.3274162,1.1736479,61.21217289160953,2.411807175799618,
2386316510063903616,347.3619049466781,-21.17228097694938,12.671005018912476,3.327974,1.4068284,53.45158621518977,30.201356138120083,
786420645182229504,176.51164393918745,47.779531623706106,16.438163304328924,3.3287191,1.42221,-138.29738773712918,28.66047320702686,
867815979158660352,116.11171060337323,24.39777124966751,22.090679593280267,3.3391395,1.1857357,-28.40301618189953,-50.67451959821298,
3970052886914547712,168.55974451077685,15.42922142120597,20.31598800388607,3.339625,0.17167759,-60.53773439344817,-78.67471337068953,6.887654
4679407039823519232,60.22421880153906,-62.15912698096752,7.0246822459750184,3.346067,2.3227992,2.1491105707616374,35.0705920316406,
725422076533653504,154.17266567485967,23.417280264419933,14.03767909082779,3.3467774,0.633281,21.160987796770264,-8.263036062408592,-12.316331
1197588859547184640,237.18465990742192,18.141171933429998,8.523070485044334,3.348804,1.8989244,-52.40655443825129,-88.41932366245398,
2603370653827638656,342.3978595434945,-13.592800139917461,10.017146428389767,3.350818,1.818984,-13.385985909035567,-38.60909393267461,
511974502720839040,28.599188504594277,63.670018347664225,7.003721351367755,3.3546658,-0.027085543,29.587486438288494,-18.386769503554564,
5773473920382493440,221.96534284573215,-79.04482599328387,6.550918437846783,3.3622816,1.5571752,-5.133333389198627,-16.29870273569667,
6427464123776727168,302.19503988923026,-66.18709128441725,163.9544145383167,3.3641381,1.0192785,1211.7606270999615,-1130.2369049548956,
5778842011026728704,245.08645354299293,-78.69591351848779,5.250752722687099,3.3667247,2.5643404,-9.678202939089392,-37.14668051864558,
699870869414974336,137.66159865872208,30.96298610131605,6.649020218077174,3.36875,3.9469929,-10.722682764113625,-33.82237411571386,
3662636823132300032,203.67206658148982,-0.5956181019830046,43.74674588145839,3.3738446,0.3116889,-276.9029992866074,44.62071265610922,-5.7275577
3312744219988782720,67.16608051054888,15.870784455320392,21.81251596251546,3.3779078,0.39932775,106.14776250704207,-20.293824952737538,
6112195451032545024,207.37599656289228,-41.68780286870546,8.047561685737936,3.3789372,-0.26299977,-26.1368515903383,-21.226232073118105,
11166438229308672,51.20302758439933,9.028538893521931,15.078813297551084,3.3823738,1.1385627,-66.3842445405924,-74.41348730919924,
2591891443195067264,22.870999185961374,15.34581754691887,8.733507455452296,3.3828592,1.211947,28.583772574864522,-3.216513878931902,
1421593566062037120,268.38296843103956,56.87299266128546,29.06031538624813,3.3842714,1.3848119,93.69808562980208,78.91420818612886,
872128538640246144,113.98046139731666,26.89527337662016,12.876056855002979,3.3864715,1.8178422,-32.84069129467204,-106.00246713633416,
5537302945910490240,118.05423048621645,-40.575748984529646,8.983792700869946,3.393327,1.2631924,-11.773834734705257,7.368216492116234,
6801963487915169920,312.9553322987257,-26.919143946973296,5.897469347770312,3.3990402,1.850532,-9.015960764345607,-2.047839198192388,
4871775051598300160,66.00955538338754,-34.01663400435644,11.126967449378133,3.400128,1.6860547,67.57204680654695,48.48930077656063,
3312052249215275904,64.94888616843296,15.627538192852759,21.664548744839898,3.4027567,1.2049625,116.24694786142689,-23.368325290143204,
1939115478598580352,354.39204130799976,46.456276552702825,38.573580782293064,3.404353,1.2695382,159.60618429181037,-421.8217509852036,
6425343818681031040,311.2390853775673,-66.20316637313928,23.801133037350663,3.4054875,0.3900833,-42.783559386994426,10.172501433062292,5.3661194
5998019895874780928,240.03043321410547,-38.39682619869986,7.594244118996563,3.4078684,-0.2772143,-17.59324437653166,-27.255637368338355,
1243381938292692096,207.36890789539856,15.798083162203483,13.422818758026837,3.41004,1.7514839,-93.26884995812442,40.16644391213432,
5330160246631998848,136.03835273422885,-47.0977749570303,10.8265285960073,3.4186177,1.377886,-47.8618229671619,-8.972799746396491,
588551501854159744,145.2869906228765,9.892141951709274,24.19762317452514,3.4208007,0.75040364,-142.62067344970026,-37.33765440978749,
5199386085968886528,158.86625302656304,-78.60773860956509,7.351357354280559,3.42169,1.8184111,-37.92898777161057,11.23445246845769,
5300534077635861888,137.74190406346486,-58.96684016755167,7.948093273210861,3.421808,-0.15955353,-13.687751115247739,13.587205693184607,
